Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.0-0.0.1.152-0-0-0,134.221.96.0,0,0.0.1.152,0,0,05/11/2025 11:18:40 PM,16979965,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1177858729390785,1.6979965E7,0.0,1.6979965E7,1.6979965E7,1.6979965E7,1.6979965E7,0.0,1.6979965E7,1.6979965E7,0,0,0,0,0,0,0,0,0,0,0,0.1177858729390785,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.6979965E7,0.0,1.6979965E7,1.6979965E7,NeedManualLabel
192.168.0.110-224.0.0.251-5353-5353-17,192.168.0.110,5353,224.0.0.251,5353,17,05/11/2025 11:18:58 PM,4836,2,0,162.0,0.0,128.0,34.0,81.0,66.46803743153546,0,0,0,0,33498.759305210915,413.564929693962,4836.0,0.0,4836.0,4836.0,4836.0,4836.0,0.0,4836.0,4836.0,0,0,0,0,0,0,0,0,0,16,0,413.564929693962,0.0,34.0,128.0,65.33333333333333,54.27092530382482,2945.333333333333,0,0,0,0,0,0,0,0,0.0,98.0,81.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-224.0.0.252-0-0-0,192.168.0.106,0,224.0.0.252,0,0,05/11/2025 11:19:42 PM,12423182,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4024733759837053,3105795.5,5593434.927809178,1.1489393E7,743.0,1.2423182E7,3105795.5,5593434.927809178,1.1489393E7,743.0,0,0,0,0,0,0,0,0,0,0,0,0.4024733759837053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,435169.0,0.0,435169.0,435169.0,1.1489393E7,0.0,1.1489393E7,1.1489393E7,NeedManualLabel
134.221.96.8-111.122.4.214-0-0-0,134.221.96.8,0,111.122.4.214,0,0,05/11/2025 11:20:10 PM,69905,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,71.52564194263644,17476.25,22208.62706810126,46438.0,31.0,69905.0,17476.25,22208.62706810126,46438.0,31.0,0,0,0,0,0,0,0,0,0,0,0,71.52564194263644,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.0-0.0.0.104-0-0-0,134.221.96.0,0,0.0.0.104,0,0,05/11/2025 11:17:42 PM,65904079,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04552070289913315,3.29520395E7,4.612890778004683E7,6.5570103E7,333976.0,6.5904079E7,3.29520395E7,4.612890778004683E7,6.5570103E7,333976.0,0,0,0,0,0,0,0,0,0,0,0,0.04552070289913315,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,333976.0,0.0,333976.0,333976.0,6.5570103E7,0.0,6.5570103E7,6.5570103E7,NeedManualLabel
134.221.96.4-76.212.0.39-0-0-0,134.221.96.4,0,76.212.0.39,0,0,05/11/2025 11:19:14 PM,750,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2666.6666666666665,750.0,0.0,750.0,750.0,750.0,750.0,0.0,750.0,750.0,0,0,0,0,0,0,0,0,0,0,0,2666.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.1-245.119.0.20-0-0-0,134.221.96.1,0,245.119.0.20,0,0,05/11/2025 11:19:38 PM,6676,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,449.37088076692635,3338.0,240.41630560342617,3508.0,3168.0,6676.0,3338.0,240.41630560342617,3508.0,3168.0,0,0,0,0,0,0,0,0,0,0,0,449.37088076692635,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.100-239.255.255.250-0-0-0,192.168.0.100,0,239.255.255.250,0,0,05/11/2025 11:21:38 PM,55190964,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4529727003862444,2299623.500000001,679513.6236063966,2581739.0,102287.0,5.5190964E7,2299623.500000001,679513.6236063966,2581739.0,102287.0,0,0,0,0,0,0,0,0,0,0,0,0.4529727003862444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.9-0.49.0.86-0-0-0,134.221.96.9,0,0.49.0.86,0,0,05/11/2025 11:17:42 PM,58225,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,34.349506225848,58225.0,0.0,58225.0,58225.0,58225.0,58225.0,0.0,58225.0,58225.0,0,0,0,0,0,0,0,0,0,0,0,34.349506225848,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.11-107.131.0.20-0-0-0,134.221.96.11,0,107.131.0.20,0,0,05/11/2025 11:17:40 PM,4253,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,705.3844345168117,2126.5,3007.3251403863865,4253.0,0.0,4253.0,2126.5,3007.3251403863865,4253.0,0.0,0,0,0,0,0,0,0,0,0,0,0,705.3844345168117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
